name,status,slot,genre,hours,satisfaction,comment,start_date,end_date,price,priority
산소미포함,dropped,-,"생존, RTS",41.5,2.5,"재밌는 부분이 있었는데, 뭔가 손이 안감.",202300,,,
문명 6,paused,-,시뮬레이션,,,,2021,,,
문명 5,paused,-,시뮬레이션,,,,2020,,,
바이오 쇼크 1,wishlist,-,어드벤쳐,,,,,,,
툼레이더,wishlist,-,3D ARPG,,,,,,,
어크 2,wishlist,-,3D ARPG,,,,,,,
어크 브라더 후드,wishlist,-,3D ARPG,,,,,,,
파크라이 3,wishlist,-,3D ARPG,,,,,,,
바이오 쇼크 2,wishlist,-,어드벤쳐,,,,,,,
플레이그 테일 이노센스,wishlist,-,어드벤쳐,,,,,,,
파크라이 4,wishlist,-,3D ARPG,,,,,,,
어크 4 블랙 플래그,wishlist,-,3D ARPG,,,,,,,
다잉라이트 1,wishlist,-,3D ARPG,,,,,,,
라이즈 오브 툼레이더,wishlist,-,3D ARPG,,,,,,,
어크,wishlist,-,3D ARPG,,,,,,,
워치독 2,wishlist,-,3D ARPG,,,,,,,
메트로 last light,wishlist,-,3D ARPG,,,,,,,
메트로 2033,wishlist,-,3D ARPG,,,,,,,
히트맨 3,wishlist,-,"어드벤쳐, 시뮬레이션",,,,,,,
히트맨 2,wishlist,-,"어드벤쳐, 시뮬레이션",,,,,,,
파크라이 2,wishlist,-,3D ARPG,,,,,,,
메트로 exodus,wishlist,-,3D ARPG,,,,,,,
섀도우 오브 툼레이더,wishlist,-,3D ARPG,,,,,,,
드래곤 에이지 : 인퀴지션,wishlist,-,3D ARPG,,,,,,,
파크라이 5,wishlist,-,3D ARPG,,,,,,,
데스스트랜딩,wishlist,-,3D ARPG,,,,,,,
파크라이 1,wishlist,-,3D ARPG,,,,,,,
어크 유니티,wishlist,-,3D ARPG,,,,,,,
월드워z,wishlist,-,3D ARPG,,,,,,,
어크 3,wishlist,-,3D ARPG,,,,,,,
렘난트,wishlist,-,3D ARPG,,,,,,,
어크 로그,wishlist,-,3D ARPG,,,,,,,
어크 레벨레이션,wishlist,-,3D ARPG,,,,,,,
칼리스토 프로토콜,wishlist,-,3D ARPG,,,,,,,
다잉라이트 2,wishlist,-,3D ARPG,,,,,,,
파크라이 6,wishlist,-,3D ARPG,,,,,,,
워치독 1,wishlist,-,3D ARPG,,,,,,,
콜옵듀티 시리즈,wishlist,-,"3D ARPG, 슈팅 액션",,,,,,,
히트맨 1,wishlist,-,"어드벤쳐, 시뮬레이션",,,,,,,
리틀 나이트메어,wishlist,-,"어드벤쳐, 공포",,,,,,,
어크 오디세이,mastered,-,3D ARPG,200,4.4,,202200,202403,,
어크 오리진,mastered,-,3D ARPG,150,4.1,,202200,202402,,
레드 데드 리뎀션 2,mastered,-,3D ARPG,200,4,,202300,202300,,
호라이즌 : 제로 던,mastered,-,"3D ARPG, 어드벤쳐",100,4.2,,202300,202300,,
철권7,completed,-,대전 액션,33,3,,202401,202403,,
시푸,mastered,-,"로그라이크, 대전 액션",200,4.8,,202306,202311,,
하데스,mastered,-,로그라이크,200,4.6,,202303,202306,,
엔터더 건전,completed,-,슈팅 액션,200,4.9,,202100,202200,,
슬레이더스파이어,mastered,-,"카드, 로그라이크",182,4,,202403,202409,,
콜오브듀티 WWII,completed,-,"3D ARPG, 슈팅 액션",9,2.1,,202300,20250201,,
엘더스 스크림5 : 스카이림,completed,-,3D ARPG,178,4.6,,202200,202400,,
어크 신디 케이트,completed,-,3D ARPG,50,3.4,,202100,202100,,
보더랜드3,completed,-,"3D ARPG, 슈팅 액션",100,4,,202200,202300,,
보더랜드2,completed,-,"3D ARPG, 슈팅 액션",50,3.4,,202300,202300,,
울펜슈타인 뉴 오더,completed,-,3D ARPG,16,3.3,,202300,202300,,
둠 이터널,mastered,-,"3D ARPG, 슈팅 액션",26,3.9,,202200,202200,,
소울 칼리버,completed,-,대전 액션,30,2.8,,202400,202400,,
데드셀,completed,-,로그라이크,168,2.9,,202200,20250201,,
팩토리오,completed,-,시뮬레이션,100,5,,202100,202200,,
크래쉬 랜드,completed,-,ARPG,100,3.8,,202100,202100,,
베이스볼 모굴 2014,completed,-,"시뮬레이션, 스포츠",300,5,,201800,202200,,
프로스트 펑크,completed,-,생존,50,2.3,,202000,202000,,
섀도우 택틱스,completed,-,RTS,60,2.8,,202100,202100,,
사무라이 쇼다운 2,completed,-,대전 액션,20,1.5,,201900,201900,,
토탈 워 : 쇼군2,completed,-,시뮬레이션,21,3.1,,202200,202200,,
while true learn(),completed,-,시뮬레이션,25,2.2,,202100,202100,,
서바이빙 마스,completed,-,시뮬레이션,40,3.5,,202100,202100,,
트로피코 5,completed,-,시뮬레이션,30,2.4,,202000,202000,,
킹덤 뉴 랜즈,completed,-,퍼즐,30,2,,202200,202200,,
insurmountable,completed,-,퍼즐,25,2,,202200,202200,,
크리쳐 인더 월드,completed,-,퍼즐,30,2.5,,202100,202100,,
SOKOBOND,completed,-,퍼즐,30,3,,202000,202000,,
디아블로3,completed,-,ARPG,100,3.8,,2012,2012,,
디아블로2,completed,-,ARPG,100,3.5,,2000,2000,,
스타크래프트2,completed,-,RTS,100,2,,2010,2010,,
스타크래프트,completed,-,RTS,200,4,,1997,2000,,
배틀그라운드,dropped,-,"멀티합동, 슈팅 액션",20,2.5,,202300,202300,,
리그오브레전드,dropped,-,멀티합동,500,0.1,,201000,202200,,
아크 서바이벌 evolved,dropped,-,생존,20,1,,202300,202300,,
The long dark,dropped,-,생존,30,1,,202200,202200,,
This war of mine,dropped,-,생존,5,1,,201900,201900,,
테니스 투어 2,dropped,-,스포츠,50,1.5,,202200,202300,,
레일 웨이 엠파이어,dropped,-,시뮬레이션,20,1.5,,202100,202100,,
프리즌 아키텍트,dropped,-,시뮬레이션,10,0.5,,201800,201800,,
Solitairica,dropped,-,카드,10,0.5,,201800,201800,,
into the breach,dropped,-,퍼즐,10,1,,201900,201900,,
리틀 빅 워크 샵,dropped,-,퍼즐,15,1.5,,202200,202200,,
블레어 위치,dropped,-,어드벤쳐,30,2,,202100,202100,,
for the king,dropped,-,TRPG,20,1,,201900,201900,,
다키스트 던전,cheated,-,로그라이크,50,2.2,,202200,202200,,
faster than light,dropped,-,"로그라이크, 생존",30,1,,202000,202000,,
xcom2,cheated,-,TRPG,50,1.5,,202300,202300,,
갓오브워 dlc 라그나로크,wishlist,-,3D ARPG,,,,,,50240,
사이버 펑크 번들 원본+dlc 팬텀 리버티,wishlist,-,3D ARPG,,,,,,53010,
Hi-Fi Rush,playing,AA,리듬,,,,20260403,,,
stray,wishlist,-,어드벤쳐,,,,,,21000,
플레이그 테일 레퀴엠,wishlist,-,어드벤쳐,,,,,,20300,
인디아나 존스: 그레이트 서클,wishlist,-,어드벤쳐,,,,,,,
"바이오 하자드 번들 RE 2,3,4",wishlist,-,"3D ARPG, 공포",,,,,,54890,
라스트 오브 어스 파트 1,wishlist,-,어드벤쳐,,,,,,31400,
검은 신화 : 오공,wishlist,-,3D ARPG,,,,,,64800,
호라이즌 포비든 웨스트,wishlist,-,3D ARPG,,,,,,42080,
p의 거짓,wishlist,-,소울라이크,,,,,,38880,
킹덤 컴: 딜리버런스 2,wishlist,-,"3D ARPG, 시뮬레이션",,,,,,60800,
팩토리오 : 스페이스 에이지 dlc,wishlist,-,시뮬레이션,,,,,,40000,
디스아너드,wishlist,-,잠입 액션,,,,,,,
디스아너드 : 방관자의 죽음,wishlist,-,잠입 액션,,,,,,,
데이브 더 다이버,wishlist,-,경영,,,,,,14400,
디스아너드 2,wishlist,-,잠입 액션,,,,,,,
"디비니티 오리지날 신 1,2 번들",wishlist,-,TRPG,,,,,,14350,
Pentiment,wishlist,-,"어드벤쳐, 추리",,,,,,,
스텔라 블레이드,wishlist,-,ARPG,,,,,,62800,
borderland4,wishlist,-,슈팅 액션,,,,,,,
sleeping dogs,wishlist,-,"오픈월드, 액션",,,,,,,
satisfactory,wishlist,-,"오픈월드, 퍼즐",,,,,,,
bomb rush cyberfunk,wishlist,-,"액션, 리듬",,,,,,,
ori and will of wisp,wishlist,-,슈팅 액션,,,,,,,
mass effect 2,wishlist,-,어드벤쳐,,,,,,,
리틀 나이트메어 2,wishlist,-,공포,,,,,,,
마피아 2,wishlist,-,오픈월드,,,,,,,
마블스 스파이더 맨,wishlist,-,3D ARPG,,,,,,,
mass effect 3 legendary edition,wishlist,-,어드벤쳐,,,,,,,
hollow knight,wishlist,-,로그라이크,,,,,,,
dead space,wishlist,-,"3D ARPG, 슈팅 액션",,,,,,,
subnautica,wishlist,-,"생존, 오픈월드",,,,,,,
사일런트 힐 2 리메이크,wishlist,-,공포,,,,,,,
스텔라 블레이드,wishlist,-,소울라이크,,,,,,,
age of mythology : retold,wishlist,-,RTS,,,,,,,
헬블레이드,wishlist,-,어드벤쳐,,,,,,,
에이지 오브 엠파이어 2 데피니티브,wishlist,-,RTS,,,,,,,
메탈 기어 솔리드 5,wishlist,-,잠입 액션,,,,,,,
배트맨 아캄 나이트,wishlist,-,3D ARPG,,,,,,,
warhammer 40k space marine 2,wishlist,-,3D ARPG,,,,,,,
sons of the forest,wishlist,-,"오픈월드, 생존",,,,,,,
아모드 코어 6,wishlist,-,액션,,,,,,,
스트리트 파이터 6,wishlist,-,대전 액션,,,,,,,
마피아 3,wishlist,-,오픈월드,,,,,,,
페르시아 왕자 lost crown,wishlist,-,3D ARPG,,,,,,,
마피아 definitive edition,wishlist,-,오픈월드,,,,,,,
v rising,wishlist,-,ARPG,,,,,,,
앨런 웨이크 2,wishlist,-,공포,,,,,,,
앨런 웨이크 1,wishlist,-,공포,,,,,,,
마블스 스파이더 맨 2,wishlist,-,액션,,,,,,,
헬블레이드 2,wishlist,-,어드벤쳐,,,,,,,
마피아 4,wishlist,-,오픈월드,,,,,,,
더 위처 4,wishlist,-,"3D ARPG, 오픈월드",,,,,,,
GTA6,wishlist,-,오픈월드,,,,,,,
Tactical Breach Wizards,wishlist,-,퍼즐,,,,,,,
the talos principle 2,wishlist,-,퍼즐,,,,,,,
power wash simulator,wishlist,-,시뮬레이션,,,,,,,
teardown,wishlist,-,"오픈월드, 샌드박스",,,,,,,
크루세이더 킹 3,wishlist,-,시뮬레이션,,,,,,,
snowrunner,wishlist,-,시뮬레이션,,,,,,,
Forza Horizon 5,wishlist,-,스포츠,,,,,,,
페르소나 5 로얄,wishlist,-,JRPG,,,,,,,
고스트 오브 쓰시마,wishlist,-,3D ARPG,,,,,,,
몬스터 헌터 와일즈,wishlist,-,3D ARPG,,,,,,,
엘든링 dlc 밤의 통치자,wishlist,-,소울라이크,,,,,,,
데드셀 추가 dlc 리턴투 캐슬배니아,wishlist,-,슈팅 액션,,,,,,7700,
엘든링 dlc 황금나무의 그림자,wishlist,-,소울라이크,,,,,,49800,
스타필드,wishlist,-,"3D ARPG, 어드벤쳐",,,,,,47990,
어새신 크리드 미라지,wishlist,-,3D ARPG,,,,,,21920,
어새신 크리드 섀도우,wishlist,-,3D ARPG,,,,,,,
하데스 2,mastered,AA,"로그라이크, 액션",139,4.9,딱 내 취향인 게임. 난이도도 적절하고 재밌었음.,20260323,20260531,24000,
발라트로,playing,A,"카드, 로그라이크",,,,20260323,,13360,
하이파이 러시,playing,-,"리듬, 액션",,,,,,34200,
빅토리아3,dropped,AA,시뮬레이션,4,1,노잼. 그냥 버림.,20260501,20260501,0,
몬스터 헌터: 라이즈,dropped,AA,,2,0.7,,2025,20260511,,
붉은 사막,wishlist,-,오픈월드,,,,,,,
COD modern warfare 4,wishlist,-,슈팅 액션,,,,,,,
구매완료,wishlist,-,구매 완료,,,,,,,
확정,wishlist,-,이번 할인 기간에 사기.,,,,,,,
다음 기회에,wishlist,-,찜해두고 다음에 더 싸질 때를 기다리기.,,,,,,,
보류,wishlist,-,싸져도 사지 말고 보류하기. 게임이 당장 필요할때 찜하거나 또 1만원 언저리로 싸지면 생각 해보기.,,,,,,,
노고,wishlist,-,"무슨일이 있어도 사지 않기. 무료나 몇천원 이하로 똥값 될 때, 또 게임이 당장 필요할 때 아니면 거들떠 보지 않기. ",,,,,,,
